handle,title,vendor,product_type,current_category_path,mapped_category_path,verdict,correct_category_path,notes,product_id,canonical_path
ego7-orion-long-boot-laces-black-size-40-45,Ego7 Orion Long Boot Laces - Black- Size 40-45,Trailrace,Boots,/clothing/footwear/riding-boots,/clothing/footwear/boots,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641405542692,/clothing/footwear/riding-boots/ego7-orion-long-boot-laces-black-size-40-45
ego7-taurus-short-boot-front-zip,Ego7 Taurus Short Boot Front Zip,Trailrace,Boots,/clothing/footwear/riding-boots,/clothing/footwear/boots,correct ,,,gid://shopify/Product/10641404625188,/clothing/footwear/riding-boots/ego7-taurus-short-boot-front-zip
tucci-galileo-patent-border-swarovski,Tucci Galileo Patent Border & Swarovski,Trailrace,Boots,/clothing/footwear/riding-boots,/clothing/footwear/boots,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641404854564,/clothing/footwear/riding-boots/tucci-galileo-patent-border-swarovski
tucci-marilyn-long-boot,Tucci Marilyn Long Boot,Trailrace,Boots,/clothing/footwear/riding-boots,/clothing/footwear/boots,incorrect,,need a category pathr for /clothing/footwear/riding-boots/tall,gid://shopify/Product/10641442144548,/clothing/footwear/riding-boots/tucci-marilyn-long-boot
tucci-marilyn-short-boot-plain,Tucci Marilyn Short Boot Plain,Trailrace,Boots,/clothing/footwear/riding-boots,/clothing/footwear/boots,correct,,,gid://shopify/Product/10641404166436,/clothing/footwear/riding-boots/tucci-marilyn-short-boot-plain
tucci-time-sofia-patent-border-swarovski,Tucci Time Sofia Patent Border & Swarovski,Trailrace,Boots,/clothing/footwear/riding-boots,/clothing/footwear/boots,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641413865764,/clothing/footwear/riding-boots/tucci-time-sofia-patent-border-swarovski
ego7-aries-long-boot-black-sizes-34-39,Ego7 Aries Long Boot - Black - Sizes 34-39,Trailrace,Boots,/clothing/footwear/tall-boots,/clothing/footwear/boots,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641404887332,/clothing/footwear/tall-boots/ego7-aries-long-boot-black-sizes-34-39
ego7-aries-long-boot-black-sizes-40-45,Ego7 Aries Long Boot - Black - Sizes 40-45,Trailrace,Boots,/clothing/footwear/tall-boots,/clothing/footwear/boots,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641404821796,/clothing/footwear/tall-boots/ego7-aries-long-boot-black-sizes-40-45
ego7-luca-long-boot,Ego7 Luca Long Boot,Trailrace,Boots,/clothing/footwear/tall-boots,/clothing/footwear/boots,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641414553892,/clothing/footwear/tall-boots/ego7-luca-long-boot
tucci-galileo-field-boot,Tucci Galileo Field Boot,Trailrace,Boots,/clothing/footwear/tall-boots,/clothing/footwear/boots,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641402822948,/clothing/footwear/tall-boots/tucci-galileo-field-boot
tucci-galileo-with-patent-wave-top,Tucci Galileo with Patent Wave Top,Trailrace,Boots,/clothing/footwear/tall-boots,/clothing/footwear/boots,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641404035364,/clothing/footwear/tall-boots/tucci-galileo-with-patent-wave-top
tucci-harley-long-boots,Tucci Harley Long Boots,Trailrace,Boots,/clothing/footwear/tall-boots,/clothing/footwear/boots,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641404920100,/clothing/footwear/tall-boots/tucci-harley-long-boots
tucci-harley-tall-boot-with-crystal,Tucci Harley Tall Boot with Crystal,Trailrace,Boots,/clothing/footwear/tall-boots,/clothing/footwear/boots,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641458692388,/clothing/footwear/tall-boots/tucci-harley-tall-boot-with-crystal
tucci-marilyn-f-punched-long-boot,Tucci Marilyn F Punched Long Boot,Trailrace,Boots,/clothing/footwear/tall-boots,/clothing/footwear/boots,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641404526884,/clothing/footwear/tall-boots/tucci-marilyn-f-punched-long-boot
tucci-time-sofia-tall-boot,Tucci  Time Sofia Tall boot,Trailrace,Boots,/clothing/footwear/tall-boots,/clothing/footwear/boots,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641405509924,/clothing/footwear/tall-boots/tucci-time-sofia-tall-boot
ego7-aster-kids-tall-boots,Ego7 Aster Kids Tall Boots,Trailrace,Boots,/clothing/kids,/clothing/footwear/boots,incorrect,/clothing/footwear/tall-boots,,gid://shopify/Product/10641486905636,/clothing/kids/ego7-aster-kids-tall-boots
cavalleria-toscana-mens-ct-team-read-stripe-quilted-jacket,Cavalleria Toscana Men's CT Team Read Stripe Quilted Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/mens/show-jackets,/clothing/womens,incorrect,,need a category pathr for /clothing/mens/jackets/casual,gid://shopify/Product/10641454399780,/clothing/mens/cavalleria-toscana-mens-ct-team-read-stripe-quilted-jacket
cavalleria-toscana-striped-lightweight-jacket-mens,Cavalleria Toscana Striped Lightweight Jacket-Men's,Trailrace,Clothing - Ladies Clothing,/clothing/mens,/clothing/womens,incorrect,,need a category pathr for /clothing/mens/jackets/casual,gid://shopify/Product/10641456562468,/clothing/mens/cavalleria-toscana-striped-lightweight-jacket-mens
ego7-mens-zip-sweatshirt,Ego7 Men's Zip Sweatshirt,Trailrace,Clothing - Ladies Clothing,/clothing/mens,/clothing/womens,correct,,,gid://shopify/Product/10641479237924,/clothing/mens/ego7-mens-zip-sweatshirt
ego7-mens-air-competition-jacket,Ego7 Men's Air Competition Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/mens/show-jackets,/clothing/womens,correct,,,gid://shopify/Product/10641477599524,/clothing/mens/show-jackets/ego7-mens-air-competition-jacket
trolle-light-tech-class-riding-jacket-mens,Trolle Light Tech Class Riding Jacket - Men's,Trailrace,Clothing - Ladies Clothing,/clothing/mens/show-jackets,/clothing/womens,correct,,,gid://shopify/Product/10641526980900,/clothing/mens/show-jackets/trolle-light-tech-class-riding-jacket-mens
samshield-delia-raincoat,Samshield Delia Raincoat,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear,/clothing/womens,correct,,,gid://shopify/Product/10641492443428,/clothing/outerwear/samshield-delia-raincoat
samshield-liv-long-raincoat,Samshield Liv Long Raincoat,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear,/clothing/womens,correct,,,gid://shopify/Product/10641483989284,/clothing/outerwear/samshield-liv-long-raincoat
bare-equestrian-marni-jacket,BARE Equestrian Marni Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/jackets,/clothing/womens,correct,,,gid://shopify/Product/10641424482596,/clothing/outerwear/jackets/bare-equestrian-marni-jacket
cavalleria-toscana-mens-korean-jacket,Cavalleria Toscana Men's Korean Jacket,Trailrace,Clothing - Men's Clothing,/clothing/outerwear/jackets,/clothing/mens,incorrect,,need a category pathr for /clothing/mens/jackets/casual,gid://shopify/Product/10641399709988,/clothing/outerwear/jackets/cavalleria-toscana-mens-korean-jacket
cavalleria-toscana-mens-padded-jacket-with-hood,Cavalleria Toscana Men's Padded Jacket with Hood,Trailrace,Clothing - Men's Clothing,/clothing/outerwear/jackets,/clothing/mens,incorrect,,need a category pathr for /clothing/mens/jackets/casual,gid://shopify/Product/10641419665700,/clothing/outerwear/jackets/cavalleria-toscana-mens-padded-jacket-with-hood
cavalleria-toscana-mens-pocket-jacket,Cavalleria Toscana Men's Pocket Jacket,Trailrace,Clothing - Men's Clothing,/clothing/outerwear/jackets,/clothing/mens,incorrect,,need a category pathr for /clothing/mens/jackets/casual,gid://shopify/Product/10641400037668,/clothing/outerwear/jackets/cavalleria-toscana-mens-pocket-jacket
cavalleria-toscana-mens-tech-knit-bomber,Cavalleria Toscana Men's Tech Knit Bomber,Trailrace,Clothing - Men's Clothing,/clothing/outerwear/jackets,/clothing/mens,incorrect,,need a category pathr for /clothing/mens/jackets/casual,gid://shopify/Product/10641411309860,/clothing/outerwear/jackets/cavalleria-toscana-mens-tech-knit-bomber
cavalleria-toscana-varsity-jacket,Cavalleria Toscana Varsity Jacket,Trailrace,Whips,/clothing/outerwear/jackets,/rider/whips,correct,,,gid://shopify/Product/10641437065508,/clothing/outerwear/jackets/cavalleria-toscana-varsity-jacket
ego7-ladies-galy-luxe-padded-jacket,Ego7 Ladies Galy Luxe Padded Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/jackets,/clothing/womens,correct,,,gid://shopify/Product/10641473700132,/clothing/outerwear/jackets/ego7-ladies-galy-luxe-padded-jacket
samshield-billie-bomber-jacket,Samshield Billie Bomber Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/jackets,/clothing/womens,correct,,,gid://shopify/Product/10641491591460,/clothing/outerwear/jackets/samshield-billie-bomber-jacket
samshield-davos-down-jacket,Samshield Davos Down Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/jackets,/clothing/womens,correct,,,gid://shopify/Product/10641458430244,/clothing/outerwear/jackets/samshield-davos-down-jacket
samshield-gena-softshell-jacket-1,Samshield Gena Softshell Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/jackets,/clothing/womens,correct,,,gid://shopify/Product/10641476911396,/clothing/outerwear/jackets/samshield-gena-softshell-jacket-1
samshield-lisa-pull-over-ss25,Samshield Lisa Pull Over - SS25,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/jackets,/clothing/womens,correct,,,gid://shopify/Product/10641525014820,/clothing/outerwear/jackets/samshield-lisa-pull-over-ss25
samshield-liviana-rain-coat-ss25,Samshield Liviana Rain Coat - SS25,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/jackets,/clothing/womens,correct,,,gid://shopify/Product/10641524982052,/clothing/outerwear/jackets/samshield-liviana-rain-coat-ss25
samshield-melia-jacket,Samshield Melia Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/jackets,/clothing/womens,correct,,,gid://shopify/Product/10641492574500,/clothing/outerwear/jackets/samshield-melia-jacket
samshield-mens-st-moritz-jacket,Samshield Men's St Moritz Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/jackets,/clothing/womens,incorrect,,need a category pathr for /clothing/mens/jackets/casual,gid://shopify/Product/10641450991908,/clothing/outerwear/jackets/samshield-mens-st-moritz-jacket
cavalleria-toscana-ladies-gp-tails,Cavalleria Toscana Ladies GP Tails,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/riding-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641400529188,/clothing/outerwear/riding-jackets/cavalleria-toscana-ladies-gp-tails
cavalleria-toscana-light-tech-knit-zip-riding-jacket,Cavalleria Toscana Light Tech Knit Zip Riding Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/riding-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641445028132,/clothing/outerwear/riding-jackets/cavalleria-toscana-light-tech-knit-zip-riding-jacket
cavalleria-toscana-mens-tails-line-frack,Cavalleria Toscana Men's Tails (Line Frack),Trailrace,Clothing - Men's Clothing,/clothing/outerwear/riding-jackets,/clothing/mens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641401577764,/clothing/outerwear/riding-jackets/cavalleria-toscana-mens-tails-line-frack
cavalleria-toscana-tech-knit-riding-jacket,Cavalleria Toscana Tech Knit Riding Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/riding-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641412325668,/clothing/outerwear/riding-jackets/cavalleria-toscana-tech-knit-riding-jacket
trailrace-riding-jacket,Trailrace Riding Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/riding-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641418682660,/clothing/outerwear/riding-jackets/trailrace-riding-jacket
cavalleria-toscana-ladies-embossed-line-tails,Cavalleria Toscana Ladies Embossed Line Tails,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641494475044,/clothing/outerwear/show-jackets/cavalleria-toscana-ladies-embossed-line-tails
cavalleria-toscana-ladies-tech-knit-tails,Cavalleria Toscana Ladies Tech Knit Tails,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641439949092,/clothing/outerwear/show-jackets/cavalleria-toscana-ladies-tech-knit-tails
cavalleria-toscana-perforated-gp-jacket,Cavalleria Toscana Perforated GP Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641413669156,/clothing/outerwear/show-jackets/cavalleria-toscana-perforated-gp-jacket
ego7-ladies-air-competition-jacket,Ego7 Ladies Air Competition Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641477140772,/clothing/outerwear/show-jackets/ego7-ladies-air-competition-jacket
samshield-alix-air-competition-jacket,Samshield Alix Air Competition Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641484382500,/clothing/outerwear/show-jackets/samshield-alix-air-competition-jacket
samshield-alix-air-riding-jacket-ss25,Samshield Alix Air Riding Jacket - SS25,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641523704100,/clothing/outerwear/show-jackets/samshield-alix-air-riding-jacket-ss25
samshield-crystal-fabric-short-tails,Samshield Crystal Fabric Short Tails,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641485594916,/clothing/outerwear/show-jackets/samshield-crystal-fabric-short-tails
samshield-florida-matt-competition-jacket,Samshield Florida Matt Competition Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641484316964,/clothing/outerwear/show-jackets/samshield-florida-matt-competition-jacket
samshield-frida-comp-jacket-ss24,Samshield Frida Comp Jacket - SS24,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641499095332,/clothing/outerwear/show-jackets/samshield-frida-comp-jacket-ss24
samshield-ladies-premium-tails-fw24,Samshield Ladies Premium Tails - FW24,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641511907620,/clothing/outerwear/show-jackets/samshield-ladies-premium-tails-fw24
samshield-louisa-matt-competition-jacket,Samshield Louisa Matt Competition Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641484218660,/clothing/outerwear/show-jackets/samshield-louisa-matt-competition-jacket
samshield-louisa-satin-competition-jacket,Samshield Louisa Satin Competition Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641492148516,/clothing/outerwear/show-jackets/samshield-louisa-satin-competition-jacket
samshield-olympe-crystal-jacket-fw24,Samshield Olympe Crystal Jacket - FW24,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641512005924,/clothing/outerwear/show-jackets/samshield-olympe-crystal-jacket-fw24
samshield-victorine-crystal-fabric-tall-ss24,Samshield Victorine Crystal Fabric Tall - SS24,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641500963108,/clothing/outerwear/show-jackets/samshield-victorine-crystal-fabric-tall-ss24
samshield-victorine-premium-jacket-fw24,Samshield Victorine Premium Jacket - FW24,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641511088420,/clothing/outerwear/show-jackets/samshield-victorine-premium-jacket-fw24
samshield-victorine-premium-tall-ss25,Samshield Victorine Premium - Tall - SS25,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641524687140,/clothing/outerwear/show-jackets/samshield-victorine-premium-tall-ss25
vestrum-providence-competition-jacket,Vestrum Providence Competition Jacket,Trailrace,Clothing - Ladies Clothing,/clothing/outerwear/show-jackets,/clothing/womens,incorrect,,need a category /clothing/womens/riding-jacket - merge all current ladies riding jackets here,gid://shopify/Product/10641436803364,/clothing/outerwear/show-jackets/vestrum-providence-competition-jacket
samshield-phoebe-pull-over-ss25,Samshield Phoebe Pull Over - SS25,Trailrace,Clothing - Ladies Clothing,/clothing/tops,/clothing/womens,correct,,,gid://shopify/Product/10641525080356,/clothing/tops/samshield-phoebe-pull-over-ss25
ariat-prix-2-0-polo,Ariat Prix 2.0 Polo,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641449582884,/clothing/tops/polo-shirts/ariat-prix-2-0-polo
cavalleria-toscana-horizontal-pin-stripe-l-s-training-polo,Cavalleria Toscana Horizontal Pin Stripe L/S Training Polo,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641461674276,/clothing/tops/polo-shirts/cavalleria-toscana-horizontal-pin-stripe-l-s-training-polo
cavalleria-toscana-jersey-knit-comp-polo,Cavalleria Toscana Jersey Knit Comp Polo,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641418420516,/clothing/tops/polo-shirts/cavalleria-toscana-jersey-knit-comp-polo
cavalleria-toscana-ladies-perforated-jersey-insert-comp-polo,Cavalleria Toscana Ladies Perforated  Jersey Insert Comp Polo,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641423434020,/clothing/tops/polo-shirts/cavalleria-toscana-ladies-perforated-jersey-insert-comp-polo
cavalleria-toscana-mens-competition-polo,Cavalleria Toscana Men's Competition Polo,Trailrace,Clothing - Men's Clothing,/clothing/tops/polo-shirts,/clothing/mens,correct,,,gid://shopify/Product/10641486676260,/clothing/tops/polo-shirts/cavalleria-toscana-mens-competition-polo
cavalleria-toscana-mens-perf-swipe-polo,Cavalleria Toscana Men's Perf Swipe Polo,Trailrace,Clothing - Men's Clothing,/clothing/tops/polo-shirts,/clothing/mens,correct,,,gid://shopify/Product/10641410130212,/clothing/tops/polo-shirts/cavalleria-toscana-mens-perf-swipe-polo
cavalleria-toscana-pleated-competition-polo,Cavalleria Toscana Pleated Competition Polo,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641491755300,/clothing/tops/polo-shirts/cavalleria-toscana-pleated-competition-polo
cavalleria-toscana-r-evo-epaulet-competition-shirt,Cavalleria Toscana R-Evo Epaulet Competition Shirt,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641456398628,/clothing/tops/polo-shirts/cavalleria-toscana-r-evo-epaulet-competition-shirt
cavalleria-toscana-r-evo-tech-knit-competition-polo,Cavalleria Toscana R-EVO Tech Knit Competition Polo,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641445159204,/clothing/tops/polo-shirts/cavalleria-toscana-r-evo-tech-knit-competition-polo
cavalleria-toscana-revo-premier-jersey-comp-polo-mens,Cavalleria Toscana REVO Premier Jersey  Comp Polo - Men's,Trailrace,Clothing - Men's Clothing,/clothing/tops/polo-shirts,/clothing/mens,correct,,,gid://shopify/Product/10641464459556,/clothing/tops/polo-shirts/cavalleria-toscana-revo-premier-jersey-comp-polo-mens
ct-mens-piquet-stretch-polo,CT Men's Piquet Stretch Polo,Trailrace,Clothing - Men's Clothing,/clothing/tops/polo-shirts,/clothing/mens,correct,,,gid://shopify/Product/10641423466788,/clothing/tops/polo-shirts/ct-mens-piquet-stretch-polo
ego7-air-polo-ladies,Ego7 Air Polo - Ladies,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641473634596,/clothing/tops/polo-shirts/ego7-air-polo-ladies
ego7-ladies-training-polo-tita,Ego7 Ladies Training Polo - TITA,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641498997028,/clothing/tops/polo-shirts/ego7-ladies-training-polo-tita
samshield-aloise-boreal-competition-polo-ss24,Samshield Aloise Boreal Competition Polo - SS24,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641499586852,/clothing/tops/polo-shirts/samshield-aloise-boreal-competition-polo-ss24
samshield-bruna-sleeveless-training-polo-ss24,Samshield Bruna Sleeveless Training Polo - SS24,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641501094180,/clothing/tops/polo-shirts/samshield-bruna-sleeveless-training-polo-ss24
samshield-bruna-sleeveless-training-polo-ss25,Samshield Bruna Sleeveless Training Polo - SS25,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641523867940,/clothing/tops/polo-shirts/samshield-bruna-sleeveless-training-polo-ss25
samshield-bruna-training-polo-ss24,Samshield Bruna Training Polo - SS24,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641503191332,/clothing/tops/polo-shirts/samshield-bruna-training-polo-ss24
samshield-brunella-training-polo-fw24,Samshield Brunella Training Polo - FW24,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641510826276,/clothing/tops/polo-shirts/samshield-brunella-training-polo-fw24
samshield-caroline-polo-long-sleeve,Samshield Caroline Polo - Long Sleeve,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641423237412,/clothing/tops/polo-shirts/samshield-caroline-polo-long-sleeve
samshield-celine-training-polo-ss24,Samshield Celine Training Polo - SS24,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641503322404,/clothing/tops/polo-shirts/samshield-celine-training-polo-ss24
samshield-darius-mens-training-polo,Samshield Darius Men's Training Polo,Trailrace,Clothing - Men's Clothing,/clothing/tops/polo-shirts,/clothing/mens,correct,,,gid://shopify/Product/10641489985828,/clothing/tops/polo-shirts/samshield-darius-mens-training-polo
samshield-elyfreshtec-training-polo-ss25,Samshield Elyfreshtec Training Polo - SS25,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641524588836,/clothing/tops/polo-shirts/samshield-elyfreshtec-training-polo-ss25
samshield-erina-crystal-training-polo,Samshield Erina Crystal Training Polo,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641492803876,/clothing/tops/polo-shirts/samshield-erina-crystal-training-polo
samshield-erina-long-sleeve-training-polo,Samshield Erina Long Sleeve Training Polo,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641474814244,/clothing/tops/polo-shirts/samshield-erina-long-sleeve-training-polo
samshield-louison-air-competition-polo-ss24,Samshield Louison Air Competition Polo - SS24,Trailrace,Clothing - Ladies Clothing,/clothing/tops/polo-shirts,/clothing/womens,correct,,,gid://shopify/Product/10641503289636,/clothing/tops/polo-shirts/samshield-louison-air-competition-polo-ss24
