url_path,parent_url,category_level,top_level,suggested_label,created_for_urls
/horse/rugs/show,/horse/rugs,3,horse,Show,/collections/horse-rugs/show
/horse/rugs/eurohunter,/horse/rugs,3,horse,Eurohunter,/collections/horse-rugs/eurohunter
/horse/rugs/kentucky,/horse/rugs,3,horse,Kentucky,/collections/horse-rugs/kentucky
/rider/helmets/brims,/rider/helmets,3,rider,Brims,/collections/horse-riding-helmets/brims
/clothing/footwear/tucci,/clothing/footwear,3,clothing,Tucci,/collections/footwear/tucci
/clothing/footwear/ego-7,/clothing/footwear,3,clothing,Ego 7,/collections/footwear/ego-7
/clothing/footwear/cavallo,/clothing/footwear,3,clothing,Cavallo,/collections/footwear/cavallo
/clothing/footwear/ariat,/clothing/footwear,3,clothing,Ariat,/collections/footwear/ariat
/horse/supplements/psyllium-husk,/horse/supplements,3,horse,Psyllium Husk,/collections/horse-health/psyllium-husk
/horse/supplements/msm,/horse/supplements,3,horse,Msm,/collections/horse-health/msm
/horse/supplements/dynavyte,/horse/supplements,3,horse,Dynavyte,/collections/horse-health/dynavyte
/horse/supplements/anti-inflammatory,/horse/supplements,3,horse,Anti Inflammatory,/collections/horse-health/anti-inflammatory
/horse/supplements/biotin,/horse/supplements,3,horse,Biotin,/collections/horse-health/biotin
/horse/supplements/electrolytes,/horse/supplements,3,horse,Electrolytes,/collections/horse-health/electrolytes
/horse/supplements/calming,/horse/supplements,3,horse,Calming,/collections/horse-health/calming-supplements; /collections/horse-health/b-quiet
/horse/veterinary/therapy-equipment,/horse/veterinary,3,horse,Therapy Equipment,/collections/horse-health/arcequine
/horse/bonnets/fly-veils,/horse/bonnets,3,horse,Fly Veils,/collections/horse-health/fly-veils-and-hoods
/horse/supplements/ranvet,/horse/supplements,3,horse,Ranvet,/collections/horse-health/ranvet
/horse/supplements/kelato,/horse/supplements,3,horse,Kelato,/collections/horse-health/kelato
/horse/supplements/joint,/horse/supplements,3,horse,Joint,/collections/horse-health/joint-supplements
/horse/veterinary/wound-care,/horse/veterinary,3,horse,Wound Care,/collections/horse-health/wound-care
/horse/boots/zandona,/horse/boots,3,horse,Zandona,/collections/horse-boots/zandona
/horse/boots/woof-wear,/horse/boots,3,horse,Woof Wear,/collections/horse-boots/woof-wear
/horse/boots/kentucky,/horse/boots,3,horse,Kentucky,/collections/horse-boots/kentucky
/horse/bits/myler,/horse/bits,3,horse,Myler,/collections/horse-bits/myler
/horse/bits/dr-bristol,/horse/bits,3,horse,Dr Bristol,/collections/horse-bits/dr-bristol
/horse/bits/pelham-bits,/horse/bits,3,horse,Pelham Bits,/collections/horse-bits/pelham-bits
/horse/bits/sprenger,/horse/bits,3,horse,Sprenger,/collections/horse-bits/sprenger
/horse/bits/gag,/horse/bits,3,horse,Gag,/collections/horse-bits/gag
/horse/bits/snaffle,/horse/bits,3,horse,Snaffle,/collections/horse-bits/snaffle
/horse/bits/trust,/horse/bits,3,horse,Trust,/collections/horse-bits/trust
/horse/bits/bombers,/horse/bits,3,horse,Bombers,/collections/horse-bits/bombers-bits
/clothing/unisex,/clothing,2,clothing,Unisex,/collections/horse-riding-apparel/unisex
/clothing/accessories/beanies,/clothing/accessories,3,clothing,Beanies,/collections/horse-riding-apparel/beanies-and-headbands
/clothing/activewear/base-layer,/clothing/activewear,3,clothing,Base Layer,/collections/horse-riding-apparel/base-layer
/clothing/mens/tops,/clothing/mens,3,clothing,Tops,/collections/horse-riding-apparel/mens-tops
/horse/tack/browbands,/horse/tack,3,horse,Browbands,/collections/strapping/browbands-for-horses
/horse/tack/breastplates-martingales,/horse/tack,3,horse,Breastplates Martingales,/collections/strapping/breastplates-martingales
